AnchorsRate,Order,NumSampling,K,Seed,F_MadeStyle,ACC,NMI,Purity,Fscore,Runtime
10,2,4,7,4,2,0.576431350750417,0.688873000452626,0.627015008337966,0.523995820943502,8.4475203
10,2,4,7,6,1,0.570316842690384,0.693668226268591,0.604780433574208,0.516969724568182,8.0364729
10,2,4,7,6,2,0.589772095608671,0.702405717384351,0.624235686492496,0.527772677353307,8.0364729
10,2,4,7,8,1,0.565869927737632,0.69256666944615,0.605336297943302,0.515065381992169,6.262416
10,2,4,7,8,2,0.589216231239578,0.706715144818035,0.62479155086159,0.530484919041977,6.262416
10,2,4,7,10,1,0.566425792106726,0.696434005506087,0.60366870483602,0.515639174446031,3.6620868
10,2,4,7,10,2,0.598665925514175,0.690959934985762,0.635352973874375,0.510452331621979,3.6620868
10,2,4,10,0,1,0.560311284046693,0.666473766036791,0.588660366870484,0.499898586048878,3.5000496
10,2,4,10,0,2,0.618121178432463,0.674389477476903,0.61923290717065,0.505347133142385,3.5000496
10,2,4,10,2,1,0.556976097832129,0.671225795394374,0.596998332406893,0.495974687272067,3.8058771
10,2,4,10,2,2,0.614785992217899,0.702871669548472,0.650917176209005,0.555175730170247,3.8058771
10,2,4,10,4,1,0.515286270150083,0.670818336881963,0.572540300166759,0.497790066398918,3.5997457
10,2,4,10,4,2,0.587548638132296,0.700954497718372,0.622568093385214,0.52819427517944,3.5997457
10,2,4,10,6,1,0.564758198999444,0.674080627201014,0.589772095608671,0.499397173300012,5.2128338
10,2,4,10,6,2,0.586992773763202,0.698193172805199,0.62201222901612,0.526386854869702,5.2128338
10,2,4,10,8,1,0.563090605892162,0.673071819903472,0.601445247359644,0.484332912594829,4.7833306
10,2,4,10,8,2,0.584213451917732,0.691664721419666,0.61923290717065,0.52081799675815,4.7833306
10,2,4,10,10,1,0.589772095608671,0.660294495918196,0.591439688715953,0.488660096251231,5.1131558
10,2,4,10,10,2,0.587548638132296,0.67528062446841,0.623679822123402,0.502692923393188,5.1131558
10,2,4,15,0,1,0.561978877153974,0.673893075494102,0.589772095608671,0.503108255154966,5.9631006
10,2,4,15,0,2,0.58532518065592,0.695713191063587,0.622568093385214,0.525422551355707,5.9631006
