AnchorsRate,Order,NumSampling,K,Seed,Method,F_MadeStyle,ACC,NMI,Purity,Fscore,Runtime
10,2,2,10,6,4,1,0.557531962201223,0.635651827776963,0.581989994441356,0.478784364083233,1.038335
10,2,2,10,6,4,2,0.533073929961089,0.607799215569824,0.557531962201223,0.45042741212015,1.038335
10,2,2,10,8,1,1,0.568093385214008,0.653368224846497,0.60088938299055,0.480278437893405,1.1848092
10,2,2,10,8,1,2,0.544191217342968,0.640479579316295,0.579210672595887,0.476475834020187,1.1848092
10,2,2,10,8,2,1,0.505280711506392,0.633983751393809,0.549193996664814,0.4485848926232,0.9885305
10,2,2,10,8,2,2,0.505280711506392,0.633983751393809,0.549193996664814,0.4485848926232,0.9885305
10,2,2,10,8,3,1,0.560311284046693,0.638964770697757,0.561978877153974,0.446602743686286,1.0850827
10,2,2,10,8,3,2,0.560867148415787,0.661596450574688,0.592551417454141,0.478600468153259,1.0850827
10,2,2,10,8,4,1,0.558643690939411,0.645980631513143,0.585881045025014,0.485250168707221,1.0471793
10,2,2,10,8,4,2,0.558643690939411,0.645980631513143,0.585881045025014,0.485250168707221,1.0471793
10,2,2,10,10,1,1,0.533073929961089,0.612946435966847,0.553640911617565,0.428638265359358,1.2746914
10,2,2,10,10,1,2,0.47526403557532,0.599068454441914,0.535297387437465,0.416174529285069,1.2746914
10,2,2,10,10,2,1,0.563090605892162,0.637740525118679,0.563646470261256,0.439522415683434,1.1164195
10,2,2,10,10,2,2,0.598110061145081,0.669632243782716,0.598665925514175,0.489331233505819,1.1164195
10,2,2,10,10,3,1,0.514730405780989,0.669722267511779,0.583101723179544,0.488193565241856,1.1092445
10,2,2,10,10,3,2,0.598665925514175,0.705137000418454,0.634797109505281,0.535228069441102,1.1092445
10,2,2,10,10,4,1,0.558643690939411,0.640962240330256,0.591439688715953,0.482072687323284,1.0178135
10,2,2,10,10,4,2,0.558643690939411,0.640962240330256,0.591439688715953,0.482072687323284,1.0178135
10,2,2,15,0,1,1,0.535297387437465,0.602713680297889,0.565869927737632,0.4430304999703,1.168641
10,2,2,15,0,1,2,0.535297387437465,0.602713680297889,0.565869927737632,0.4430304999703,1.168641
10,2,2,15,0,2,1,0.51195108393552,0.647336226276529,0.571984435797665,0.476840193826058,1.0789176
10,2,2,15,0,2,2,0.554752640355753,0.664841610678,0.593663146192329,0.495536989680377,1.0789176
10,2,2,15,0,3,1,0.558643690939411,0.65417649286019,0.598665925514175,0.486495529236641,1.3487463
10,2,2,15,0,3,2,0.564758198999444,0.627936805639681,0.564758198999444,0.448790860986104,1.3487463
10,2,2,15,0,4,1,0.554752640355753,0.628487197102817,0.581989994441356,0.473678571305132,1.0431913
10,2,2,15,0,4,2,0.501389660922735,0.591372047168008,0.531406336853808,0.448582743293798,1.0431913
10,2,2,15,2,1,1,0.508615897720956,0.631311250436542,0.568649249583102,0.465841019932146,1.1238779
10,2,2,15,2,1,2,0.507504168982768,0.610927006203151,0.546414674819344,0.453037157126794,1.1238779
10,2,2,15,2,2,1,0.571428571428571,0.655637744091681,0.608115619788771,0.483147909591287,1.1532018
10,2,2,15,2,2,2,0.571428571428571,0.656177764283999,0.608115619788771,0.484108805778008,1.1532018
10,2,2,15,2,3,1,0.553085047248471,0.62546407438143,0.558643690939411,0.447126096398454,1.1933158
10,2,2,15,2,3,2,0.553085047248471,0.617839927542385,0.558643690939411,0.443792683272408,1.1933158
10,2,2,15,2,4,1,0.556976097832129,0.630886219796706,0.591995553085047,0.475813721275327,1.1310147
10,2,2,15,2,4,2,0.577543079488605,0.646297246694517,0.612562534741523,0.491511299090285,1.1310147
10,2,2,15,4,1,1,0.538076709282935,0.614716051062918,0.573096164535853,0.462565547040043,1.0917867
10,2,2,15,4,1,2,0.551973318510284,0.628531454404462,0.598665925514175,0.476607915094502,1.0917867
10,2,2,15,4,2,1,0.519733185102835,0.617658659030672,0.554752640355753,0.449232544947191,1.1059474
10,2,2,15,4,2,2,0.542523624235686,0.647858834509673,0.577543079488605,0.488126850304715,1.1059474
10,2,2,15,4,3,1,0.503613118399111,0.630618779870167,0.574207893274041,0.458964766896338,1.0415736
10,2,2,15,4,3,2,0.544191217342968,0.645183579200196,0.581989994441356,0.479027541204264,1.0415736
10,2,2,15,4,4,1,0.520289049471929,0.604814174884471,0.560867148415787,0.450722097003089,1.4120929
10,2,2,15,4,4,2,0.510839355197332,0.598013345478053,0.556976097832129,0.45171722661956,1.4120929
10,2,2,15,6,1,1,0.546970539188438,0.644046576487948,0.584769316286826,0.479888890037668,1.1905056
10,2,2,15,6,1,2,0.483046136742635,0.588437923428599,0.541411895497499,0.437747728314504,1.1905056
